cod_mun|DAS_pagos|qtd_optantes|adimplencia|inadimplencia|uf|qtd_populacao_estimada|nm_municipio|vlr_adic_bruto_agropecuaria|vlr_adic_bruto_industria|vlr_adic_bruto_servicos|vlr_adic_bruto_administracao|vlr_adic_bruto_total|impostos_liquidos_sobre_produtos|pib|pib_per_capita|atividade_maior_vlr_adic_bruto|atividade_2maior_vlr_adic_bruto|atividade_3maior_vlr_adic_bruto
1100015|612|858|0.71|0.29|RO|22728|Alta Floresta D'Oeste|165892|26369|123512|155271|471045|28261|499306|21552.47|Administração, defesa, educação e saúde públicas e seguridade social|Demais serviços|Pecuária, inclusive apoio à pecuária
1100023|2420|4512|0.54|0.46|RO|109523|Ariquemes|163121|339667|1034184|674541|2211513|252260|2463773|23206.36|Demais serviços|Administração, defesa, educação e saúde públicas e seguridade social|Comércio e reparação de veículos automotores e motocicletas
1100031|87|209|0.42|0.58|RO|5188|Cabixi|62337|5179|25171|42164|134851|5651|140502|25837.12|Administração, defesa, educação e saúde públicas e seguridade social|Pecuária, inclusive apoio à pecuária|Agricultura, inclusive apoio à agricultura e a pós colheita
1100049|2412|3997|0.60|0.40|RO|85893|Cacoal|212493|222558|971609|548595|1955256|225198|2180454|25708.96|Demais serviços|Administração, defesa, educação e saúde públicas e seguridade social|Comércio e reparação de veículos automotores e motocicletas
1100056|496|757|0.66|0.34|RO|16204|Cerejeiras|61973|22818|208728|109796|403315|68863|472179|28714.35|Demais serviços|Administração, defesa, educação e saúde públicas e seguridade social|Comércio e reparação de veículos automotores e motocicletas
1100064|611|883|0.69|0.31|RO|15544|Colorado do Oeste|73479|26195|103454|105915|309043|21385|330428|20362.88|Administração, defesa, educação e saúde públicas e seguridade social|Demais serviços|Pecuária, inclusive apoio à pecuária
1100072|175|209|0.84|0.16|RO|7220|Corumbiara|212545|9971|30596|57122|310234|10394|320628|42371.91|Produção florestal, pesca e aquicultura|Pecuária, inclusive apoio à pecuária|Administração, defesa, educação e saúde públicas e seguridade social
1100080|178|423|0.42|0.58|RO|18798|Costa Marques|63525|7218|42875|108861|222479|7684|230164|12890.70|Administração, defesa, educação e saúde públicas e seguridade social|Pecuária, inclusive apoio à pecuária|Demais serviços
1100098|880|1073|0.82|0.18|RO|32695|Espigão D'Oeste|120026|61347|183339|194761|559473|48925|608398|18984.55|Administração, defesa, educação e saúde públicas e seguridade social|Demais serviços|Pecuária, inclusive apoio à pecuária
1100106|508|1366|0.37|0.63|RO|46556|Guajará-Mirim|46931|29036|361929|284832|722728|114154|836882|18279.32|Administração, defesa, educação e saúde públicas e seguridade social|Demais serviços|Comércio e reparação de veículos automotores e motocicletas
1100114|1297|2028|0.64|0.36|RO|51620|Jaru|174427|226575|588767|326104|1315874|160753|1476627|28433.31|Demais serviços|Administração, defesa, educação e saúde públicas e seguridade social|Comércio e reparação de veículos automotores e motocicletas
1100122|3651|6536|0.56|0.44|RO|130009|Ji-Paraná|141765|403202|1601590|770438|2916995|445341|3362336|26287.35|Demais serviços|Administração, defesa, educação e saúde públicas e seguridade social|Comércio e reparação de veículos automotores e motocicletas
1100130|610|1061|0.57|0.43|RO|40867|Machadinho D'Oeste|190494|46881|130599|242591|610566|31537|642103|16423.33|Administração, defesa, educação e saúde públicas e seguridade social|Pecuária, inclusive apoio à pecuária|Demais serviços
1100148|244|337|0.72|0.28|RO|20489|Nova Brasilândia D'Oeste|103925|37158|82157|126649|349890|20134|370024|18086.15|Administração, defesa, educação e saúde públicas e seguridade social|Pecuária, inclusive apoio à pecuária|Demais serviços
1100155|1039|1896|0.55|0.45|RO|35737|Ouro Preto do Oeste|143562|81960|285328|237414|748264|60402|808667|22252.80|Administração, defesa, educação e saúde públicas e seguridade social|Demais serviços|Pecuária, inclusive apoio à pecuária
1100189|940|1661|0.57|0.43|RO|36881|Pimenta Bueno|109643|179849|417242|245726|952460|178698|1131158|31046.76|Demais serviços|Administração, defesa, educação e saúde públicas e seguridade social|Comércio e reparação de veículos automotores e motocicletas
1100205|7355|21388|0.34|0.66|RO|539354|Porto Velho|586045|3858082|6664115|3418710|14526952|2120205|16647158|32042.66|Demais serviços|Administração, defesa, educação e saúde públicas e seguridade social|Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação
1100254|429|757|0.57|0.43|RO|18571|Presidente Médici|102278|36862|117093|125209|381442|36159|417601|21515.83|Administração, defesa, educação e saúde públicas e seguridade social|Pecuária, inclusive apoio à pecuária|Demais serviços
1100262|36|81|0.44|0.56|RO|3804|Rio Crespo|54708|7331|11090|29997|103125|3396|106521|28611.66|Administração, defesa, educação e saúde públicas e seguridade social|Pecuária, inclusive apoio à pecuária|Agricultura, inclusive apoio à agricultura e a pós colheita
1100288|1713|2694|0.64|0.36|RO|55407|Rolim de Moura|97068|251482|502744|351411|1202705|114387|1317091|24077.57|Demais serviços|Administração, defesa, educação e saúde públicas e seguridade social|Indústrias de transformação
1100296|150|214|0.70|0.30|RO|6216|Santa Luzia D'Oeste|51398|13604|26830|49509|141341|5304|146645|21625.89|Administração, defesa, educação e saúde públicas e seguridade social|Pecuária, inclusive apoio à pecuária|Demais serviços
1100304|2547|4683|0.54|0.46|RO|102211|Vilhena|143682|448423|1171537|646476|2410118|359365|2769483|28420.11|Demais serviços|Administração, defesa, educação e saúde públicas e seguridade social|Comércio e reparação de veículos automotores e motocicletas
1100320|392|707|0.55|0.45|RO|23077|São Miguel do Guaporé|242199|128163|153484|150685|674531|36919|711451|31025.71|Agricultura, inclusive apoio à agricultura e a pós colheita|Administração, defesa, educação e saúde públicas e seguridade social|Demais serviços
1100338|326|650|0.50|0.50|RO|31392|Nova Mamoré|184590|25151|93541|185847|489128|19574|508702|17095.19|Administração, defesa, educação e saúde públicas e seguridade social|Pecuária, inclusive apoio à pecuária|Demais serviços
1100346|331|431|0.77|0.23|RO|14106|Alvorada D'Oeste|78818|11705|57543|98438|246504|10004|256509|17423.49|Administração, defesa, educação e saúde públicas e seguridade social|Pecuária, inclusive apoio à pecuária|Demais serviços
1100379|177|242|0.73|0.27|RO|13255|Alto Alegre dos Parecis|124975|11712|41556|89320|267562|10918|278480|21053.93|Administração, defesa, educação e saúde públicas e seguridade social|Agricultura, inclusive apoio à agricultura e a pós colheita|Pecuária, inclusive apoio à pecuária
1100403|315|405|0.78|0.22|RO|21847|Alto Paraíso|87597|23590|74888|125940|312016|16736|328751|15655.57|Administração, defesa, educação e saúde públicas e seguridade social|Pecuária, inclusive apoio à pecuária|Demais serviços
1100452|588|1003|0.59|0.41|RO|40356|Buritis|176695|37720|182638|237501|634553|46423|680976|17489.18|Administração, defesa, educação e saúde públicas e seguridade social|Demais serviços|Pecuária, inclusive apoio à pecuária
1100502|121|172|0.70|0.30|RO|8329|Novo Horizonte do Oeste|58294|9704|32951|57626|158574|7224|165798|18946.14|Administração, defesa, educação e saúde públicas e seguridade social|Pecuária, inclusive apoio à pecuária|Demais serviços
1100601|23|105|0.22|0.78|RO|6269|Cacaulândia|71272|3359|19522|42435|136588|4042|140630|22718.85|Pecuária, inclusive apoio à pecuária|Administração, defesa, educação e saúde públicas e seguridade social|Demais serviços
1100700|135|258|0.52|0.48|RO|14266|Campo Novo de Rondônia|129427|22536|26395|94347|272705|7637|280341|20011.50|Pecuária, inclusive apoio à pecuária|Administração, defesa, educação e saúde públicas e seguridade social|Demais serviços
1100809|317|783|0.40|0.60|RO|27388|Candeias do Jamari|85026|186970|103914|169522|545432|22466|567898|21856.51|Administração, defesa, educação e saúde públicas e seguridade social|Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação|Demais serviços
1100908|26|54|0.48|0.52|RO|2987|Castanheiras|74886|1787|7508|26091|110272|2755|113027|36238.14|Produção florestal, pesca e aquicultura|Pecuária, inclusive apoio à pecuária|Administração, defesa, educação e saúde públicas e seguridade social
1100924|195|355|0.55|0.45|RO|11472|Chupinguaia|105106|51048|52350|78493|286997|14334|301332|27680.65|Administração, defesa, educação e saúde públicas e seguridade social|Pecuária, inclusive apoio à pecuária|Demais serviços
1100940|404|721|0.56|0.44|RO|26183|Cujubim|85034|59077|55819|142523|342453|14624|357077|14739.40|Administração, defesa, educação e saúde públicas e seguridade social|Indústrias de transformação|Pecuária, inclusive apoio à pecuária
1101005|81|137|0.59|0.41|RO|7445|Governador Jorge Teixeira|95115|4781|16793|57162|173851|4930|178780|22085.29|Pecuária, inclusive apoio à pecuária|Administração, defesa, educação e saúde públicas e seguridade social|Demais serviços
1101104|98|263|0.37|0.63|RO|10641|Itapuã do Oeste|43804|25904|35929|66797|172434|7852|180286|17551.21|Administração, defesa, educação e saúde públicas e seguridade social|Demais serviços|Pecuária, inclusive apoio à pecuária
1101203|179|183|0.98|0.02|RO|9559|Ministro Andreazza|72737|12158|45027|63721|193644|12589|206233|21126.07|Administração, defesa, educação e saúde públicas e seguridade social|Pecuária, inclusive apoio à pecuária|Agricultura, inclusive apoio à agricultura e a pós colheita
1101302|166|247|0.67|0.33|RO|10818|Mirante da Serra|66365|13164|57705|70713|207947|10020|217967|19672.11|Administração, defesa, educação e saúde públicas e seguridade social|Demais serviços|Pecuária, inclusive apoio à pecuária
1101401|181|340|0.53|0.47|RO|16007|Monte Negro|90940|22836|56656|100188|270620|12382|283003|18031.40|Administração, defesa, educação e saúde públicas e seguridade social|Pecuária, inclusive apoio à pecuária|Demais serviços
1101435|107|143|0.75|0.25|RO|6895|Nova União|53916|3418|13525|46224|117084|3970|121054|17178.06|Pecuária, inclusive apoio à pecuária|Administração, defesa, educação e saúde públicas e seguridade social|Demais serviços
1101450|47|76|0.62|0.38|RO|6198|Parecis|48291|3259|11117|40764|103431|3159|106590|17923.34|Pecuária, inclusive apoio à pecuária|Administração, defesa, educação e saúde públicas e seguridade social|Demais serviços
1101468|33|82|0.40|0.60|RO|2148|Pimenteiras do Oeste|63957|3303|11525|22655|101439|3140|104579|47731.23|Pecuária, inclusive apoio à pecuária|Agricultura, inclusive apoio à agricultura e a pós colheita|Administração, defesa, educação e saúde públicas e seguridade social
